Yoast SEO;https://ru.wordpress.org/plugins/wordpress-seo/;Улучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощью…;5+ млн активных установок;['Протестирован', 'с', '6.5.2']
Контактная форма WPForms — конструктор форм для WordPress с возможностью перетаскивания элементов;https://ru.wordpress.org/plugins/wpforms-lite/;The best WordPress contact form plugin. Drag & Drop form builder to create beautiful contact…;5+ млн активных установок;['Протестирован', 'с', '6.4.4']
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;Укрепите защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копирования, WAF и проверки…;4+ млн активных установок;['Протестирован', 'с', '6.5.2']
Rank Math SEO with AI Best SEO Tools;https://ru.wordpress.org/plugins/seo-by-rank-math/;Rank Math SEO — лучший WordPress SEO плагин, сочетающий в себе функции многих инструментов SEO…;2+ млн активных установок;['Протестирован', 'с', '6.5.2']
Advanced Editor Tools;https://ru.wordpress.org/plugins/tinymce-advanced/;Расширяет и улучшает редактор блоков (Gutenberg) и классический редактор (TinyMCE).;2+ млн активных установок;['Протестирован', 'с', '6.5.2']
MC4WP: Mailchimp for WordPress;https://ru.wordpress.org/plugins/mailchimp-for-wp/;The #1 Mailchimp plugin for WordPress. Allows you to add a multitude of newsletter sign-up…;2+ млн активных установок;['Протестирован', 'с', '6.5.2']
Smush – Optimize Images | Compress and Lazy Load Images | Convert WebP;https://ru.wordpress.org/plugins/wp-smushit/;Compress images & optimize images with built-in lossless compression, lazy load, WebP conversion, and resize…;1+ млн активных установок;['Протестирован', 'с', '6.4.4']
Smash Balloon Social Photo Feed — лучший плагин для социальных сетей для WordPress;https://ru.wordpress.org/plugins/instagram-feed/;Ранее плагин назывался «Instagram Feed». Аккуратное отображение постов из нескольких учетных записей Instagram в виде…;1+ млн активных установок;['Протестирован', 'с', '6.5.2']
Redux Framework;https://ru.wordpress.org/plugins/redux-framework/;Redux — это простая, действительно расширяемая и полностью адаптируемая структура опций для тем и плагинов…;1+ млн активных установок;['Протестирован', 'с', '6.5.2']
Complianz — GDPR/CCPA Cookie Consent;https://ru.wordpress.org/plugins/complianz-gdpr/;Configure your Cookie Banner, Cookie Consent and Cookie Policy with our Wizard and Cookie Scan.;900 000+ активных установок;['Протестирован', 'с', '6.4.4']
Smart Slider 3;https://ru.wordpress.org/plugins/smart-slider-3/;Плагин адаптивного слайдера для простого создания слайдов в визуальном редакторе. Создавайте красивые слайдеры изображений, слоёв,…;900 000+ активных установок;['Протестирован', 'с', '6.5.2']
